OTU,Kingdom,Phylum,Class,Order,Family,Genus
OTU_122,Bacteria(100.0),Planctomycetes(100.0),Planctomycetacia(95.2),Planctomycetales(95.2),Planctomycetaceae(94.2),Zavarzinella(54.0)
OTU_118,Bacteria(100.0),Proteobacteria(97.6),Alphaproteobacteria(64.6),Rhizobiales(49.2),Rhodobiaceae(41.3),Anderseniella(41.3)
OTU_121,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(95.0),Rhodospirillales(91.4),Rhodospirillaceae(82.6),Azospirillum(54.9)
OTU_119,Bacteria(100.0),Gemmatimonadetes(100.0),Gemmatimonadetes(91.7),Gemmatimonadales(90.1),Gemmatimonadaceae(86.4),Gemmatimonas(66.6)
OTU_124,Bacteria(100.0),Firmicutes(100.0),Clostridia(98.2),Clostridiales(98.2),Ruminococcaceae(96.5),Acetivibrio(91.7)
OTU_125,Bacteria(100.0),Firmicutes(100.0),Clostridia(99.2),Clostridiales(99.2),Gracilibacteraceae(98.8),Gracilibacter(98.3)
OTU_130,Bacteria(100.0),Verrucomicrobia(100.0),Verrucomicrobiae(99.4),Verrucomicrobiales(99.4),Verrucomicrobiaceae(96.4),Luteolibacter(85.8)
OTU_129,Bacteria(100.0),Firmicutes(100.0),Bacilli(92.9),Bacillales(91.9),Pasteuriaceae(90.2),Pasteuria(72.5)
OTU_132,Bacteria(100.0),Fibrobacteres(93.1),Fibrobacteria(66.1),Fibrobacterales(55.0),Fibrobacteraceae(43.6),Fibrobacter(43.6)
OTU_131,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(96.0),Rhodocyclales(91.4),Rhodocyclaceae(89.4),Thauera(69.2)
OTU_127,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(100.0),Xanthomonadales(99.6),Xanthomonadaceae(99.6),Arenimonas(99.0)
OTU_134,Bacteria(100.0),Planctomycetes(99.7),Planctomycetacia(84.2),Planctomycetales(67.7),Planctomycetaceae(56.5),Planctomyces(45.1)
OTU_133,Bacteria(100.0),Proteobacteria(100.0),Alphaproteobacteria(95.2),Rhodospirillales(92.3),Rhodospirillaceae(75.8),Oceanibaculum(58.7)
OTU_138,Bacteria(100.0),Planctomycetes(100.0),Planctomycetacia(94.5),Planctomycetales(94.2),Planctomycetaceae(92.9),Gemmata(54.9)
OTU_128,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(100.0),Xanthomonadales(99.5),Xanthomonadaceae(99.5),Pseudoxanthomonas(99.5)
OTU_126,Bacteria(100.0),Actinobacteria(100.0),Actinobacteria(100.0),Actinomycetales(100.0),Microbacteriaceae(99.6),Microbacterium(99.2)
OTU_137,Bacteria(100.0),Proteobacteria(100.0),Gammaproteobacteria(99.3),Xanthomonadales(99.2),Sinobacteraceae(99.1),Steroidobacter(99.1)
OTU_136,Bacteria(100.0),Firmicutes(100.0),Clostridia(95.6),Clostridiales(95.6),Clostridiaceae_1(94.9),Caloramator(64.2)
OTU_145,Bacteria(100.0),Planctomycetes(99.3),Planctomycetacia(77.5),Planctomycetales(62.2),Planctomycetaceae(49.1),Rhodopirellula(46.1)
OTU_141,Bacteria(100.0),Proteobacteria(100.0),Betaproteobacteria(96.5),Burkholderiales(91.4),Burkholderiaceae(89.4),Burkholderia(70.9)
OTU_135,Bacteria(100.0),Firmicutes(81.5),Clostridia(54.9),Clostridiales(52.1),Peptococcaceae_2(41.9),Desulfotomaculum(41.9)
OTU_140,Bacteria(100.0),Firmicutes(100.0),Bacilli(99.2),Bacillales(99.2),Paenibacillaceae_1(99.2),Paenibacillus(99.2)
OTU_142,Bacteria(100.0),Proteobacteria(100.0),Deltaproteobacteria(97.2),Myxococcales(95.0),Polyangiaceae(85.3),Byssovorax(63.1)
OTU_146,Bacteria(100.0),Firmicutes(100.0),Clostridia(97.3),Clostridiales(97.3),Lachnospiraceae(96.2),Parasporobacterium(90.1)
OTU_139,Bacteria(100.0),Firmicutes(99.8),Clostridia(85.4),Clostridiales(70.1),Peptococcaceae_2(58.3),Pelotomaculum(50.0)
